pegRNA_id,total,extracted,recombined
pegRNA_1,107.0,59.0,48.0
pegRNA_2,341.0,310.0,31.0
pegRNA_3,131.0,48.0,83.0
pegRNA_4,44.0,25.0,19.0
pegRNA_5,88.0,75.0,13.0
pegRNA_6,438.0,407.0,31.0
pegRNA_7,570.0,524.0,46.0
pegRNA_8,109.0,83.0,26.0
pegRNA_9,33.0,26.0,7.0
pegRNA_10,53.0,43.0,10.0
pegRNA_11,21.0,12.0,9.0
pegRNA_12,164.0,96.0,68.0
pegRNA_13,24.0,3.0,21.0
pegRNA_14,86.0,78.0,8.0
pegRNA_15,42.0,34.0,8.0
pegRNA_16,239.0,165.0,74.0
pegRNA_17,115.0,76.0,39.0
pegRNA_18,341.0,307.0,34.0
pegRNA_19,70.0,59.0,11.0
pegRNA_20,46.0,44.0,2.0
pegRNA_21,4.0,4.0,0.0
pegRNA_22,34.0,29.0,5.0
pegRNA_23,2.0,2.0,0.0
pegRNA_24,57.0,8.0,49.0
pegRNA_25,22.0,21.0,1.0
pegRNA_26,18.0,7.0,11.0
pegRNA_27,34.0,26.0,8.0
pegRNA_28,1.0,0.0,1.0
pegRNA_29,127.0,120.0,7.0
pegRNA_30,113.0,80.0,33.0
pegRNA_31,26.0,6.0,20.0
pegRNA_32,37.0,26.0,11.0
pegRNA_33,34.0,28.0,6.0
pegRNA_34,64.0,58.0,6.0
pegRNA_35,72.0,56.0,16.0
pegRNA_36,405.0,376.0,29.0
pegRNA_37,225.0,185.0,40.0
pegRNA_38,117.0,104.0,13.0
pegRNA_39,236.0,209.0,27.0
pegRNA_40,47.0,35.0,12.0
pegRNA_41,112.0,108.0,4.0
pegRNA_42,55.0,44.0,11.0
pegRNA_43,31.0,22.0,9.0
pegRNA_44,172.0,161.0,11.0
pegRNA_45,95.0,87.0,8.0
pegRNA_46,130.0,102.0,28.0
pegRNA_47,81.0,43.0,38.0
pegRNA_48,83.0,52.0,31.0
pegRNA_49,151.0,146.0,5.0
pegRNA_50,50.0,49.0,1.0
pegRNA_51,12.0,10.0,2.0
pegRNA_52,11.0,8.0,3.0
pegRNA_53,52.0,24.0,28.0
pegRNA_54,35.0,10.0,25.0
pegRNA_55,18.0,13.0,5.0
pegRNA_56,70.0,35.0,35.0
pegRNA_57,57.0,48.0,9.0
pegRNA_58,133.0,90.0,43.0
pegRNA_59,59.0,52.0,7.0
pegRNA_60,21.0,18.0,3.0
pegRNA_61,55.0,27.0,28.0
pegRNA_62,21.0,16.0,5.0
pegRNA_63,33.0,22.0,11.0
pegRNA_64,86.0,75.0,11.0
pegRNA_65,286.0,227.0,59.0
pegRNA_66,25.0,7.0,18.0
pegRNA_67,231.0,186.0,45.0
pegRNA_68,151.0,131.0,20.0
pegRNA_69,33.0,9.0,24.0
pegRNA_70,34.0,21.0,13.0
pegRNA_71,17.0,14.0,3.0
pegRNA_72,7.0,5.0,2.0
pegRNA_73,26.0,25.0,1.0
pegRNA_74,44.0,42.0,2.0
pegRNA_75,329.0,241.0,88.0
pegRNA_76,229.0,204.0,25.0
pegRNA_77,207.0,183.0,24.0
pegRNA_78,50.0,47.0,3.0
pegRNA_79,218.0,217.0,1.0
pegRNA_80,125.0,112.0,13.0
pegRNA_81,183.0,161.0,22.0
pegRNA_82,165.0,79.0,86.0
pegRNA_83,41.0,27.0,14.0
pegRNA_84,111.0,69.0,42.0
pegRNA_85,149.0,144.0,5.0
pegRNA_86,107.0,100.0,7.0
pegRNA_87,58.0,51.0,7.0
pegRNA_88,226.0,196.0,30.0
pegRNA_89,11.0,4.0,7.0
pegRNA_90,105.0,94.0,11.0
pegRNA_91,512.0,492.0,20.0
pegRNA_92,110.0,99.0,11.0
pegRNA_93,92.0,71.0,21.0
pegRNA_94,33.0,28.0,5.0
pegRNA_95,5.0,0.0,5.0
pegRNA_96,55.0,44.0,11.0
pegRNA_97,26.0,19.0,7.0
pegRNA_98,11.0,4.0,7.0
pegRNA_99,176.0,152.0,24.0
pegRNA_100,50.0,14.0,36.0
pegRNA_101,119.0,103.0,16.0
pegRNA_102,68.0,65.0,3.0
pegRNA_103,125.0,123.0,2.0
pegRNA_104,100.0,76.0,24.0
pegRNA_105,96.0,91.0,5.0
pegRNA_106,33.0,29.0,4.0
pegRNA_107,109.0,90.0,19.0
pegRNA_108,19.0,15.0,4.0
pegRNA_109,81.0,75.0,6.0
pegRNA_110,58.0,56.0,2.0
pegRNA_111,90.0,81.0,9.0
pegRNA_112,96.0,91.0,5.0
pegRNA_113,194.0,183.0,11.0
pegRNA_114,449.0,399.0,50.0
pegRNA_115,6.0,6.0,0.0
pegRNA_116,92.0,72.0,20.0
pegRNA_117,34.0,30.0,4.0
pegRNA_118,21.0,18.0,3.0
pegRNA_119,57.0,51.0,6.0
pegRNA_120,150.0,142.0,8.0
pegRNA_121,65.0,36.0,29.0
pegRNA_122,593.0,583.0,10.0
pegRNA_123,113.0,85.0,28.0
pegRNA_124,605.0,551.0,54.0
pegRNA_125,353.0,339.0,14.0
pegRNA_126,170.0,153.0,17.0
pegRNA_127,135.0,128.0,7.0
pegRNA_128,135.0,41.0,94.0
pegRNA_129,110.0,96.0,14.0
pegRNA_130,19.0,18.0,1.0
pegRNA_131,320.0,309.0,11.0
pegRNA_132,322.0,286.0,36.0
pegRNA_133,358.0,291.0,67.0
pegRNA_134,200.0,189.0,11.0
pegRNA_135,115.0,102.0,13.0
pegRNA_136,45.0,3.0,42.0
pegRNA_137,3.0,3.0,0.0
pegRNA_138,7.0,7.0,0.0
pegRNA_139,26.0,1.0,25.0
pegRNA_140,10.0,9.0,1.0
pegRNA_141,81.0,77.0,4.0
pegRNA_142,36.0,27.0,9.0
pegRNA_143,173.0,150.0,23.0
pegRNA_144,9.0,6.0,3.0
pegRNA_145,31.0,31.0,0.0
pegRNA_146,1037.0,994.0,43.0
pegRNA_147,2476.0,2335.0,141.0
pegRNA_148,5.0,5.0,0.0
pegRNA_149,1630.0,1525.0,105.0
pegRNA_150,2216.0,2079.0,137.0
pegRNA_151,6.0,5.0,1.0
pegRNA_152,41.0,2.0,39.0
pegRNA_153,22.0,3.0,19.0
pegRNA_154,71.0,65.0,6.0
pegRNA_155,30.0,10.0,20.0
pegRNA_156,628.0,497.0,131.0
pegRNA_157,858.0,764.0,94.0
pegRNA_158,642.0,569.0,73.0
pegRNA_159,177.0,156.0,21.0
pegRNA_160,3.0,3.0,0.0
pegRNA_161,106.0,36.0,70.0
pegRNA_162,82.0,53.0,29.0
pegRNA_163,49.0,33.0,16.0
pegRNA_164,41.0,4.0,37.0
pegRNA_165,19.0,4.0,15.0
pegRNA_166,205.0,200.0,5.0
pegRNA_167,182.0,151.0,31.0
pegRNA_168,42.0,38.0,4.0
pegRNA_169,39.0,18.0,21.0
pegRNA_170,130.0,112.0,18.0
pegRNA_171,73.0,60.0,13.0
pegRNA_172,181.0,164.0,17.0
pegRNA_173,69.0,60.0,9.0
pegRNA_174,14.0,10.0,4.0
pegRNA_175,304.0,252.0,52.0
pegRNA_176,18.0,16.0,2.0
pegRNA_177,75.0,23.0,52.0
pegRNA_178,4.0,0.0,4.0
pegRNA_179,14.0,7.0,7.0
pegRNA_180,8.0,4.0,4.0
pegRNA_181,58.0,46.0,12.0
pegRNA_182,69.0,47.0,22.0
pegRNA_183,77.0,67.0,10.0
pegRNA_184,83.0,74.0,9.0
pegRNA_185,252.0,202.0,50.0
pegRNA_186,98.0,83.0,15.0
pegRNA_187,104.0,84.0,20.0
pegRNA_188,41.0,22.0,19.0
pegRNA_189,43.0,19.0,24.0
pegRNA_190,94.0,77.0,17.0
pegRNA_191,10.0,10.0,0.0
pegRNA_192,36.0,35.0,1.0
pegRNA_193,34.0,33.0,1.0
pegRNA_194,22.0,22.0,0.0
pegRNA_195,250.0,237.0,13.0
pegRNA_196,28.0,27.0,1.0
pegRNA_197,6.0,4.0,2.0
pegRNA_198,16.0,4.0,12.0
pegRNA_199,57.0,34.0,23.0
pegRNA_200,16.0,4.0,12.0
pegRNA_201,106.0,97.0,9.0
pegRNA_202,51.0,49.0,2.0
pegRNA_203,113.0,99.0,14.0
